Row,Tipo,Parola,Significato,Parti del discorso,Disambiguation,Root,Group,Special Note,Participio Passato Irregolare,Aus.,Prep. Before Next Infinitive,Dizionario
21,Alto Uso,abbraccio,,s.m.,,abbracciare,,,,,,http://dizionario.internazionale.it/parola/abbraccio
22,Alta Disponibilità,abbreviare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbreviare
23,Alta Disponibilità,abbronzare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/abbronzare
24,Alta Disponibilità,abete,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/abete
25,Alto Uso,abile,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/abile
26,Alto Uso,abilità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/abilita
27,Alto Uso,abisso,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/abisso
28,Alto Uso,abitante,,"p.pres., agg., s.m.",,abitare,,,,,,http://dizionario.internazionale.it/parola/abitante
29,Fondamentale,abitare,,"v.intr. e tr., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/abitare
30,Alto Uso,abitazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/abitazione
31,Fondamentale,abito,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/abito
32,Alto Uso,abituale,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/abituale
33,Fondamentale,abituare,,v.tr.,,,,,,,a,http://dizionario.internazionale.it/parola/abituare
34,Fondamentale,abitudine,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/abitudine
35,Alto Uso,abolire,,v.tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/abolire
36,Alta Disponibilità,abortire,,v.intr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/abortire
37,Alta Disponibilità,aborto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/aborto
38,Alta Disponibilità,abruzzese,,"agg., s.m. e f.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/abruzzese
39,Alta Disponibilità,abusare,,v.intr.,,,,,,,,http://dizionario.internazionale.it/parola/abusare
40,Alto Uso,abuso,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/abuso
41,Alta Disponibilità,acca,,s.f. e m.inv.,,,Letters of the Alphabet,,,,,http://dizionario.internazionale.it/parola/acca
42,Alto Uso,accademia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/accademia
43,Alto Uso,accademico,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/accademico
44,Fondamentale,accadere,,v.intr.,,cadere,,,,Essere,,http://dizionario.internazionale.it/parola/accadere
45,Alta Disponibilità,accampamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accampamento
46,Fondamentale,accanto,,avv.,,,,,,,,http://dizionario.internazionale.it/parola/accanto
47,Alta Disponibilità,accappatoio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accappatoio
48,Alto Uso,accarezzare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/accarezzare
49,Alta Disponibilità,accattone,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accattone
50,Alta Disponibilità,accavallare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/accavallare
51,Alta Disponibilità,accecare,,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/accecare
52,Alto Uso,accedere,,v.intr.,,,,,,,,http://dizionario.internazionale.it/parola/accedere
53,Alto Uso,accelerare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/accelerare
54,Alta Disponibilità,acceleratore,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/acceleratore
55,Alto Uso,accelerazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/accelerazione
56,Fondamentale,accendere,,v.tr.,,,,,Irr PP: acceso,,,http://dizionario.internazionale.it/parola/accendere
57,Alta Disponibilità,accendino,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accendino
58,Alto Uso,accennare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/accennare
59,Alta Disponibilità,accenno,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accenno
60,Alta Disponibilità,accentare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/accentare
61,Alto Uso,accento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accento
62,Alto Uso,accertamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accertamento
63,Alto Uso,accertare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/accertare
64,Alto Uso,acceso,,"p.pass., agg.",,accendere,,,,,,http://dizionario.internazionale.it/parola/acceso
65,Fondamentale,accesso,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accesso
66,Alto Uso,accessorio,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/accessorio
67,Alta Disponibilità,accetta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/accetta
68,Alto Uso,accettabile,,agg.,,accettare,,,,,,http://dizionario.internazionale.it/parola/accettabile
69,Fondamentale,accettare,,v.tr.,,,,,,,di,http://dizionario.internazionale.it/parola/accettare
70,Alta Disponibilità,acchiappare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/acchiappare
71,Alta Disponibilità,acciacco,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/acciacco
72,Alto Uso,acciaio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/acciaio
73,Alto Uso,accidente,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accidente
74,Alta Disponibilità,acciuga,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/acciuga
75,Alta Disponibilità,accogliente,,"p.pres., agg.",,accogliere,,,,,,http://dizionario.internazionale.it/parola/accogliente
76,Alto Uso,accoglienza,,s.f.,,accogliere,,,,,,http://dizionario.internazionale.it/parola/accoglienza
77,Fondamentale,accogliere,,v.tr.,,,,,Irr PP: accolto,,,http://dizionario.internazionale.it/parola/accogliere
78,Alta Disponibilità,accoltellare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/accoltellare
79,Alto Uso,accomodare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/accomodare
80,Fondamentale,accompagnare,,v.tr.,,,,,,,a,http://dizionario.internazionale.it/parola/accompagnare
81,Alta Disponibilità,acconsentire,,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/acconsentire
82,Alto Uso,accontentare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/accontentare
83,Alta Disponibilità,accorciare,,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/accorciare
84,Alto Uso,accordare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/accordare
85,Fondamentale,accordo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/accordo
86,Fondamentale,accorgersi,,v.pronom.intr.,,,,,Irr PP: accorto,,di,http://dizionario.internazionale.it/parola/accorgersi
87,Alta Disponibilità,accorrere,,v.intr.,,,,,Irr PP: accorso,Essere,,http://dizionario.internazionale.it/parola/accorrere
88,Alto Uso,accostare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/accostare
89,Alta Disponibilità,accudire,,v.intr. e tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/accudire
90,Alto Uso,accumulare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/accumulare
91,Alta Disponibilità,accumulatore,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/accumulatore
92,Alto Uso,accurato,,"p.pass., agg.",,,,,,,,http://dizionario.internazionale.it/parola/accurato
93,Fondamentale,accusa,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/accusa
94,Fondamentale,accusare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/accusare
95,Alta Disponibilità,acerbo,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/acerbo
96,Alta Disponibilità,aceto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/aceto
97,Alto Uso,acido,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/acido
98,Fondamentale,acqua,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/acqua
99,Alta Disponibilità,acquarello,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/acquarello
100,Alta Disponibilità,acquario,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/acquario
101,Alta Disponibilità,acquasanta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/acquasanta
102,Alto Uso,acquisire,,v.tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/acquisire
103,Alto Uso,acquisizione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/acquisizione
104,Fondamentale,acquistare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/acquistare
105,Fondamentale,acquisto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/acquisto
106,Alta Disponibilità,acquolina,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/acquolina
107,Alta Disponibilità,acrobata,1,s.m. e f.,,,,,,,,http://dizionario.internazionale.it/parola/acrobata
108,Alto Uso,acuto,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/acuto
109,Alto Uso,adattare,,v.tr.,,,,,,,a,http://dizionario.internazionale.it/parola/adattare
110,Alta Disponibilità,adattatore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/adattatore
111,Fondamentale,adatto,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/adatto
112,Alto Uso,addetto,1,"p.pass., agg., s.m.",,addire,,,,,,http://dizionario.internazionale.it/parola/addetto
113,Alto Uso,addio,,"inter., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/addio
114,Fondamentale,addirittura,,avv.,,,,,,,,http://dizionario.internazionale.it/parola/addirittura
115,Alta Disponibilità,addizione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/addizione
116,Alta Disponibilità,addobbare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/addobbare
117,Alta Disponibilità,addolcire,,v.tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/addolcire
118,Alta Disponibilità,addomesticare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/addomesticare
119,Alto Uso,addormentarsi,,v.pronom.intr.,,,,,,,,http://dizionario.internazionale.it/parola/addormentarsi
120,Alta Disponibilità,addormentato,,"p.pass., agg.",,addormentare,,,,,,http://dizionario.internazionale.it/parola/addormentato
121,Fondamentale,addossare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/addossare
122,Alta Disponibilità,addosso,,"avv., inter.",,,,,,,,http://dizionario.internazionale.it/parola/addosso
123,Alta Disponibilità,addrizzare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/addrizzare
124,Alto Uso,adeguare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/adeguare
125,Alto Uso,adeguato,,"p.pass., agg., s.m.",,adeguare,,,,,,http://dizionario.internazionale.it/parola/adeguato
126,Alta Disponibilità,aderente,,"p.pres., agg., s.m. e f.",,aderire,,,,,,http://dizionario.internazionale.it/parola/aderente
127,Alto Uso,aderire,,v.intr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/aderire
128,Alto Uso,adesione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/adesione
129,Fondamentale,adesso,,avv.,,,,adesso / ora,,,,http://dizionario.internazionale.it/parola/adesso
130,Fondamentale,adolescente,,"agg., s.m. e f.",,,,,,,,http://dizionario.internazionale.it/parola/adolescente
131,Alto Uso,adolescenza,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/adolescenza
132,Alto Uso,adoperare,,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/adoperare
133,Fondamentale,adorare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/adorare
134,Fondamentale,adottare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/adottare
135,Alto Uso,adozione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/adozione
136,Alta Disponibilità,adriatico,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/adriatico
137,Fondamentale,adulto,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/adulto
138,Fondamentale,aereo,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/aereo
139,Alto Uso,aereo,2,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/aereo_2
140,Alta Disponibilità,aeroplano,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/aeroplano
141,Alto Uso,aeroporto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/aeroporto
142,Alta Disponibilità,afa,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/afa
143,Alto Uso,affacciare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/affacciare
144,Alta Disponibilità,affamare,,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/affamare
145,Alta Disponibilità,affamato,,"p.pass., agg., s.m.",,affamare,,,,,,http://dizionario.internazionale.it/parola/affamato
146,Alta Disponibilità,affannarsi,,v.pronom.intr.,,,,,,,,http://dizionario.internazionale.it/parola/affannarsi
147,Alta Disponibilità,affannato,,"p.pass., agg.",,affannare,,,,,,http://dizionario.internazionale.it/parola/affannato
148,Alta Disponibilità,affanno,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/affanno
149,Fondamentale,affare,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/affare
150,Alto Uso,affascinante,,"p.pres., agg.",,affascinare,,,,,,http://dizionario.internazionale.it/parola/affascinante
151,Alto Uso,affascinare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/affascinare
152,Alta Disponibilità,affaticare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/affaticare
153,Fondamentale,affatto,,avv.,,,,,,,,http://dizionario.internazionale.it/parola/affatto
154,Fondamentale,affermare,,v.tr.,,,,,,,di,http://dizionario.internazionale.it/parola/affermare
155,Alto Uso,affermazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/affermazione
156,Alto Uso,afferrare,,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/afferrare
157,Alta Disponibilità,affettare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/affettare
158,Alta Disponibilità,affettato,1,"p.pass., agg., s.m.",,affettare,,,,,,http://dizionario.internazionale.it/parola/affettato
159,Alto Uso,affetto,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/affetto
160,Alto Uso,affetto,2,agg.,,,,,,,,http://dizionario.internazionale.it/parola/affetto_2
161,Alto Uso,affettuoso,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/affettuoso
162,Alta Disponibilità,affezionato,,"p.pass., agg.",,affezionare,,,,,,http://dizionario.internazionale.it/parola/affezionato
163,Alto Uso,affiancare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/affiancare
164,Alto Uso,affidamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/affidamento
165,Fondamentale,affidare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/affidare
166,Alta Disponibilità,affilato,1,"p.pass., agg.",,affilare,,,,,,http://dizionario.internazionale.it/parola/affilato
167,Alto Uso,affinché,,cong.,,,,,,,,http://dizionario.internazionale.it/parola/affinche
168,Alto Uso,affittare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/affittare
169,Alto Uso,affitto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/affitto
170,Alta Disponibilità,affogare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/affogare
171,Alta Disponibilità,affollare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/affollare
172,Alto Uso,affondare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/affondare
173,Alto Uso,affresco,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/affresco
174,Fondamentale,affrontare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/affrontare
175,Alta Disponibilità,affumicare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/affumicare
176,Alto Uso,africano,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/africano
177,Alto Uso,agenda,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/agenda
178,Fondamentale,agente,,"p.pres., agg., s.m. e f.",,agire,,,,,,http://dizionario.internazionale.it/parola/agente
179,Fondamentale,agenzia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/agenzia
180,Alto Uso,agganciare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/agganciare
181,Alto Uso,aggettivo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/aggettivo
182,Alto Uso,aggiornamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/aggiornamento
183,Alto Uso,aggiornare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/aggiornare
184,Alto Uso,aggirare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/aggirare
185,Fondamentale,aggiungere,,"v.tr., v.intr.",,,,,Irr PP: aggiunto,,,http://dizionario.internazionale.it/parola/aggiungere
186,Alto Uso,aggiustare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/aggiustare
187,Alto Uso,aggrapparsi,,v.pronom.intr.,,,,,,,,http://dizionario.internazionale.it/parola/aggrapparsi
188,Alta Disponibilità,aggravare,,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/aggravare
189,Alto Uso,aggredire,,v.tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/aggredire
190,Alto Uso,aggressione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/aggressione
191,Alto Uso,aggressivo,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/aggressivo
192,Alta Disponibilità,agiato,,"p.pass., agg.",,,,,,,,http://dizionario.internazionale.it/parola/agiato
193,Alta Disponibilità,agile,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/agile
194,Alto Uso,agio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/agio
195,Fondamentale,agire,,v.intr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/agire
196,Alto Uso,agitare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/agitare
197,Alto Uso,agitazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/agitazione
198,Alta Disponibilità,aglio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/aglio
199,Alto Uso,agnello,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/agnello
200,Alto Uso,ago,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/ago
201,Alta Disponibilità,agonia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/agonia
202,Fondamentale,agosto,1,s.m.,,,Months of the Year,,,,,http://dizionario.internazionale.it/parola/agosto
203,Alto Uso,agricolo,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/agricolo
204,Alta Disponibilità,agricoltore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/agricoltore
205,Alto Uso,agricoltura,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/agricoltura
206,Alta Disponibilità,agrume,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/agrume
207,Alta Disponibilità,aguzzare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/aguzzare
208,Alta Disponibilità,aguzzo,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/aguzzo
209,Alta Disponibilità,aiuola,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/aiuola
210,Fondamentale,aiutare,,v.tr.,,,,,,,a,http://dizionario.internazionale.it/parola/aiutare
211,Fondamentale,aiuto,,"s.m., inter.",,,,,,,,http://dizionario.internazionale.it/parola/aiuto
212,Fondamentale,ala,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/ala
213,Fondamentale,alba,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/alba
214,Alto Uso,albanese,1,"agg., s.m. e f.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/albanese
215,Fondamentale,albergo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/albergo
216,Fondamentale,albero,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/albero
217,Alta Disponibilità,albicocca,,"s.f., s.m.inv., agg. inv.",,,,,,,,http://dizionario.internazionale.it/parola/albicocca
218,Fondamentale,album,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/album
219,Alto Uso,alcol,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/alcol
220,Fondamentale,alcuno,,"agg.indef., pron.indef.m.",,,,,,,,http://dizionario.internazionale.it/parola/alcuno
221,Alta Disponibilità,alfabeto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/alfabeto
222,Alta Disponibilità,alga,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/alga
223,Alta Disponibilità,algerino,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/algerino
224,Alto Uso,alieno,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/alieno
225,Alto Uso,alimentare,1,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/alimentare
226,Alto Uso,alimentare,2,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/alimentare_2
227,Alta Disponibilità,alimentari,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/alimentari
228,Alto Uso,alimentazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/alimentazione
229,Alto Uso,alimento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/alimento
230,Alta Disponibilità,alito,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/alito
231,Alta Disponibilità,allacciare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/allacciare
232,Alta Disponibilità,allagare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/allagare
233,Alto Uso,allargare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/allargare
234,Alta Disponibilità,allarmare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/allarmare
235,Alto Uso,allarme,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/allarme
236,Alta Disponibilità,allattare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/allattare
237,Alto Uso,alleanza,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/alleanza
238,Alta Disponibilità,allearsi,,v.pronom.intr.,,,,,,,,http://dizionario.internazionale.it/parola/allearsi
239,Alto Uso,alleato,,"p.pass., agg., s.m.",,alleare,,,,,,http://dizionario.internazionale.it/parola/alleato
240,Alto Uso,allegato,1,"p.pass., agg., s.m.",,allegare,,,,,,http://dizionario.internazionale.it/parola/allegato
241,Alta Disponibilità,alleggerire,,v.tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/alleggerire
242,Alto Uso,allegria,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/allegria
243,Alto Uso,allegro,,"agg., avv., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/allegro
244,Alto Uso,allenamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/allenamento
245,Alto Uso,allenare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/allenare
246,Alto Uso,allenatore,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/allenatore
247,Alta Disponibilità,allentare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/allentare
248,Alta Disponibilità,allergia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/allergia
249,Alto Uso,allevare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/allevare
250,Alto Uso,allievo,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/allievo
251,Alta Disponibilità,allineare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/allineare
252,Alto Uso,alloggio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/alloggio
253,Fondamentale,allontanare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/allontanare
254,Fondamentale,allora,,"avv., cong.",,,,,,,,http://dizionario.internazionale.it/parola/allora
255,Alta Disponibilità,alluce,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/alluce
256,Alto Uso,alludere,,v.intr.,,,,,Irr PP: alluso,,,http://dizionario.internazionale.it/parola/alludere
257,Alta Disponibilità,alluminio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/alluminio
258,Fondamentale,allungare,,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/allungare
259,Alta Disponibilità,alluvione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/alluvione
260,Fondamentale,almeno,,avv.,,,,,,,,http://dizionario.internazionale.it/parola/almeno
261,Alto Uso,alquanto,,"agg.indef., pron. indef., avv.",,,,,,,,http://dizionario.internazionale.it/parola/alquanto
262,Alta Disponibilità,altalena,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/altalena
