Italian,Korean,Gender,Example_IT,Example_KR
economista,경제학자,f,La economista è bellissima in questo periodo.,그 economista(은/는) 이 시기에 매우 아름답습니다.
socialista,사회주의자,f,La socialista è bellissima in questo periodo.,그 socialista(은/는) 이 시기에 매우 아름답습니다.
autista,운전사,f,La autista è bellissima in questo periodo.,그 autista(은/는) 이 시기에 매우 아름답습니다.
pianista,피아니스트,f,La pianista è bellissima in questo periodo.,그 pianista(은/는) 이 시기에 매우 아름답습니다.
commercialista,회계사,f,La commercialista è bellissima in questo periodo.,그 commercialista(은/는) 이 시기에 매우 아름답습니다.
turista,여행객,f,La turista è bellissima in questo periodo.,그 turista(은/는) 이 시기에 매우 아름답습니다.
artista,예술가,f,La artista è bellissima in questo periodo.,그 artista(은/는) 이 시기에 매우 아름답습니다.
futurista,미래주의자,f,La futurista è bellissima in questo periodo.,그 futurista(은/는) 이 시기에 매우 아름답습니다.
apprendista,견습생,f,La apprendista è bellissima in questo periodo.,그 apprendista(은/는) 이 시기에 매우 아름답습니다.
dove,어디에,-,L'italiano è dove.,이탈리아어는 어디에입니다.
domenica,일요일,f,La domenica è bellissima in questo periodo.,그 domenica(은/는) 이 시기에 매우 아름답습니다.
raccontare,이야기하다,-,Mi piace raccontare quando ho tempo libero.,나는 자유 시간이 있을 때 이야기하다는 것을 좋아합니다.
andare,가다,-,Mi piace andare quando ho tempo libero.,나는 자유 시간이 있을 때 가다는 것을 좋아합니다.
succedere,일어나다/벌어지다,-,Mi piace succedere quando ho tempo libero.,나는 자유 시간이 있을 때 일어나다/벌어지다는 것을 좋아합니다.
venire,오다,-,Mi piace venire quando ho tempo libero.,나는 자유 시간이 있을 때 오다는 것을 좋아합니다.
fare,하다,-,Mi piace fare quando ho tempo libero.,나는 자유 시간이 있을 때 하다는 것을 좋아합니다.
riposare,쉬다,-,Mi piace riposare quando ho tempo libero.,나는 자유 시간이 있을 때 쉬다는 것을 좋아합니다.
litigare,다투다/말다툼하다,-,Mi piace litigare quando ho tempo libero.,나는 자유 시간이 있을 때 다투다/말다툼하다는 것을 좋아합니다.
settimana,주/일주일,f,La settimana è bellissima in questo periodo.,그 settimana(은/는) 이 시기에 매우 아름답습니다.
prossimo,다음의,m,Il prossimo è molto importante per noi.,그 prossimo(은/는) 우리에게 매우 중요합니다.
arrivare,도착하다,-,Mi piace arrivare quando ho tempo libero.,나는 자유 시간이 있을 때 도착하다는 것을 좋아합니다.
rispetto,존중/존경,m,Il rispetto è molto importante per noi.,그 rispetto(은/는) 우리에게 매우 중요합니다.
vivere,살다,-,Mi piace vivere quando ho tempo libero.,나는 자유 시간이 있을 때 살다는 것을 좋아합니다.
fregarsene,신경 쓰지 않다,-,L'italiano è fregarsene.,이탈리아어는 신경 쓰지 않다입니다.
passare,지나가다/보내다,-,Mi piace passare quando ho tempo libero.,나는 자유 시간이 있을 때 지나가다/보내다는 것을 좋아합니다.
farcela,해내다/할 수 있다,f,La farcela è bellissima in questo periodo.,그 farcela(은/는) 이 시기에 매우 아름답습니다.
metterci,(시간이) 걸리다,-,L'italiano è metterci.,이탈리아어는 (시간이) 걸리다입니다.
a piedi,걸어서,-,L'italiano è a piedi.,이탈리아어는 걸어서입니다.
lontano,멀리,m,Il lontano è molto importante per noi.,그 lontano(은/는) 우리에게 매우 중요합니다.
volerci,(시간/노력이) 필요하다,-,L'italiano è volerci.,이탈리아어는 (시간/노력이) 필요하다입니다.
vicino a,~에 가까이,f,La vicino a è bellissima in questo periodo.,그 vicino a(은/는) 이 시기에 매우 아름답습니다.
disastro,엉망/재앙,m,Il disastro è molto importante per noi.,그 disastro(은/는) 우리에게 매우 중요합니다.
discutere,토론하다/논의하다,-,Mi piace discutere quando ho tempo libero.,나는 자유 시간이 있을 때 토론하다/논의하다는 것을 좋아합니다.
frequentare,다니다,-,Mi piace frequentare quando ho tempo libero.,나는 자유 시간이 있을 때 다니다는 것을 좋아합니다.
trovare,찾다/발견하다,-,Mi piace trovare quando ho tempo libero.,나는 자유 시간이 있을 때 찾다/발견하다는 것을 좋아합니다.
decidere,결정하다,-,Mi piace decidere quando ho tempo libero.,나는 자유 시간이 있을 때 결정하다는 것을 좋아합니다.
comodo,편안한,m,Il comodo è molto importante per noi.,그 comodo(은/는) 우리에게 매우 중요합니다.
fermata,정류장,f,La fermata è bellissima in questo periodo.,그 fermata(은/는) 이 시기에 매우 아름답습니다.
pulire,청소하다,-,Mi piace pulire quando ho tempo libero.,나는 자유 시간이 있을 때 청소하다는 것을 좋아합니다.
residenza,거주지,f,La residenza è bellissima in questo periodo.,그 residenza(은/는) 이 시기에 매우 아름답습니다.
il braccio,팔 (신체 일부),m,Il il braccio è molto importante per noi.,그 il braccio(은/는) 우리에게 매우 중요합니다.
le braccia,팔들 (신체 일부 복수),f,La le braccia è bellissima in questo periodo.,그 le braccia(은/는) 이 시기에 매우 아름답습니다.
il muro,벽,m,Il il muro è molto importante per noi.,그 il muro(은/는) 우리에게 매우 중요합니다.
le mura,성벽,f,La le mura è bellissima in questo periodo.,그 le mura(은/는) 이 시기에 매우 아름답습니다.
il ciglio,눈썹/길가,m,Il il ciglio è molto importante per noi.,그 il ciglio(은/는) 우리에게 매우 중요합니다.
le dita,손가락들,f,La le dita è bellissima in questo periodo.,그 le dita(은/는) 이 시기에 매우 아름답습니다.
il labbro,입술,m,Il il labbro è molto importante per noi.,그 il labbro(은/는) 우리에게 매우 중요합니다.
le labbra,입술들,f,La le labbra è bellissima in questo periodo.,그 le labbra(은/는) 이 시기에 매우 아름답습니다.
il membro,구성원/신체의 일부,m,Il il membro è molto importante per noi.,그 il membro(은/는) 우리에게 매우 중요합니다.
il dito,손가락,m,Il il dito è molto importante per noi.,그 il dito(은/는) 우리에게 매우 중요합니다.
piacere,좋아하다,-,Mi piace piacere quando ho tempo libero.,나는 자유 시간이 있을 때 좋아하다는 것을 좋아합니다.
mozzarella,모짜렐라 치즈,f,La mozzarella è bellissima in questo periodo.,그 mozzarella(은/는) 이 시기에 매우 아름답습니다.
fantastico,환상적인,m,Il fantastico è molto importante per noi.,그 fantastico(은/는) 우리에게 매우 중요합니다.
pranzo,점심,m,Il pranzo è molto importante per noi.,그 pranzo(은/는) 우리에게 매우 중요합니다.
fresco,신선한,m,Il fresco è molto importante per noi.,그 fresco(은/는) 우리에게 매우 중요합니다.
ufficio,사무실,m,Il ufficio è molto importante per noi.,그 ufficio(은/는) 우리에게 매우 중요합니다.
mangiare,먹다,-,Mi piace mangiare quando ho tempo libero.,나는 자유 시간이 있을 때 먹다는 것을 좋아합니다.
basilico,바질,m,Il basilico è molto importante per noi.,그 basilico(은/는) 우리에게 매우 중요합니다.
delizioso,맛있는,m,Questo piatto è davvero delizioso.,이 요리는 정말 맛있습니다.
altro,다른,m,Il altro è molto importante per noi.,그 altro(은/는) 우리에게 매우 중요합니다.
leggere,가벼운,-,Mi piace leggere quando ho tempo libero.,나는 자유 시간이 있을 때 가벼운는 것을 좋아합니다.
davvero,정말로,m,Il davvero è molto importante per noi.,그 davvero(은/는) 우리에게 매우 중요합니다.
insalata,샐러드,f,La insalata è bellissima in questo periodo.,그 insalata(은/는) 이 시기에 매우 아름답습니다.
capire,이해하다/알다,-,Mi piace capire quando ho tempo libero.,나는 자유 시간이 있을 때 이해하다/알다는 것을 좋아합니다.
consigliare,추천하다/충고하다,-,Mi piace consigliare quando ho tempo libero.,나는 자유 시간이 있을 때 추천하다/충고하다는 것을 좋아합니다.
scelta,선택,f,La scelta è bellissima in questo periodo.,그 scelta(은/는) 이 시기에 매우 아름답습니다.
eccezionale,매우 뛰어난,-,L'italiano è eccezionale.,이탈리아어는 매우 뛰어난입니다.
preferire,선호하다,-,Mi piace preferire quando ho tempo libero.,나는 자유 시간이 있을 때 선호하다는 것을 좋아합니다.
adesso,지금,m,Il adesso è molto importante per noi.,그 adesso(은/는) 우리에게 매우 중요합니다.
tranquillo,조용한,m,Il tranquillo è molto importante per noi.,그 tranquillo(은/는) 우리에게 매우 중요합니다.
giornata,하루,f,La giornata è bellissima in questo periodo.,그 giornata(은/는) 이 시기에 매우 아름답습니다.
parco,공원,m,Il parco è molto importante per noi.,그 parco(은/는) 우리에게 매우 중요합니다.
attraversare,통과하다/건너다,-,Mi piace attraversare quando ho tempo libero.,나는 자유 시간이 있을 때 통과하다/건너다는 것을 좋아합니다.
avvistare,둘러보다/발견하다,-,Mi piace avvistare quando ho tempo libero.,나는 자유 시간이 있을 때 둘러보다/발견하다는 것을 좋아합니다.
incredibilmente,놀랍게도,-,L'italiano è incredibilmente.,이탈리아어는 놀랍게도입니다.
figlio,아들,m,Il figlio è molto importante per noi.,그 figlio(은/는) 우리에게 매우 중요합니다.
impressionante,인상적인,-,L'italiano è impressionante.,이탈리아어는 인상적인입니다.
mentre,동안에,-,L'italiano è mentre.,이탈리아어는 동안에입니다.
qualsiasi,어떤/어느 것이든,-,L'italiano è qualsiasi.,이탈리아어는 어떤/어느 것이든입니다.
godersi,즐기다,-,L'italiano è godersi.,이탈리아어는 즐기다입니다.
sorridere,미소 짓다,-,Mi piace sorridere quando ho tempo libero.,나는 자유 시간이 있을 때 미소 짓다는 것을 좋아합니다.
passeggiata,산책,f,La passeggiata è bellissima in questo periodo.,그 passeggiata(은/는) 이 시기에 매우 아름답습니다.
speciale,특별한,-,L'italiano è speciale.,이탈리아어는 특별한입니다.
continuare,지속하다,-,Mi piace continuare quando ho tempo libero.,나는 자유 시간이 있을 때 지속하다는 것을 좋아합니다.
straordinario,경이로운,m,Il straordinario è molto importante per noi.,그 straordinario(은/는) 우리에게 매우 중요합니다.
camminare,걷다,-,Mi piace camminare quando ho tempo libero.,나는 자유 시간이 있을 때 걷다는 것을 좋아합니다.
fiume,강,m,Il fiume è molto importante per noi.,그 fiume(은/는) 우리에게 매우 중요합니다.
contento,만족한/기쁜,m,Il contento è molto importante per noi.,그 contento(은/는) 우리에게 매우 중요합니다.
generoso,관대한,m,Il generoso è molto importante per noi.,그 generoso(은/는) 우리에게 매우 중요합니다.
soddisfatto,만족한,m,Il soddisfatto è molto importante per noi.,그 soddisfatto(은/는) 우리에게 매우 중요합니다.
deluso,실망한,m,Il deluso è molto importante per noi.,그 deluso(은/는) 우리에게 매우 중요합니다.
innamorato,사랑에 빠진,m,Il innamorato è molto importante per noi.,그 innamorato(은/는) 우리에게 매우 중요합니다.
sorpreso,놀란,m,Il sorpreso è molto importante per noi.,그 sorpreso(은/는) 우리에게 매우 중요합니다.
arrabbiato,화난,m,Il arrabbiato è molto importante per noi.,그 arrabbiato(은/는) 우리에게 매우 중요합니다.
interessante,흥미로운,-,L'italiano è interessante.,이탈리아어는 흥미로운입니다.
spaventato,겁먹은,m,Il spaventato è molto importante per noi.,그 spaventato(은/는) 우리에게 매우 중요합니다.
danneggiato,손상된/망가진,m,Il danneggiato è molto importante per noi.,그 danneggiato(은/는) 우리에게 매우 중요합니다.
nervoso,긴장한,m,Il nervoso è molto importante per noi.,그 nervoso(은/는) 우리에게 매우 중요합니다.
stufo,질린,m,Il stufo è molto importante per noi.,그 stufo(은/는) 우리에게 매우 중요합니다.
felice,행복한,-,L'italiano è felice.,이탈리아어는 행복한입니다.
orgoglioso,자랑스러운,m,Il orgoglioso è molto importante per noi.,그 orgoglioso(은/는) 우리에게 매우 중요합니다.
triste,슬픈,-,L'italiano è triste.,이탈리아어는 슬픈입니다.
frustrato,좌절한,m,Il frustrato è molto importante per noi.,그 frustrato(은/는) 우리에게 매우 중요합니다.
preoccupato,걱정하는,m,Il preoccupato è molto importante per noi.,그 preoccupato(은/는) 우리에게 매우 중요합니다.
vergognoso,부끄러운,m,Il vergognoso è molto importante per noi.,그 vergognoso(은/는) 우리에게 매우 중요합니다.
occuparsi di,돌보다/관리하다,-,L'italiano è occuparsi di.,이탈리아어는 돌보다/관리하다입니다.
stanco,피곤한,m,Il stanco è molto importante per noi.,그 stanco(은/는) 우리에게 매우 중요합니다.
carino,귀여운,m,Il carino è molto importante per noi.,그 carino(은/는) 우리에게 매우 중요합니다.
settimana,주일/주,f,La settimana è bellissima in questo periodo.,그 settimana(은/는) 이 시기에 매우 아름답습니다.
sentire,듣다/느끼다,-,Mi piace sentire quando ho tempo libero.,나는 자유 시간이 있을 때 듣다/느끼다는 것을 좋아합니다.
capire,이해하다,-,Mi piace capire quando ho tempo libero.,나는 자유 시간이 있을 때 이해하다는 것을 좋아합니다.
sorella,여자 형제,f,La sorella è bellissima in questo periodo.,그 sorella(은/는) 이 시기에 매우 아름답습니다.
entrambe,양쪽의,-,L'italiano è entrambe.,이탈리아어는 양쪽의입니다.
bambino,아이,m,Il bambino è molto importante per noi.,그 bambino(은/는) 우리에게 매우 중요합니다.
maggiore,나이가 더 많은,m,Il maggiore è molto importante per noi.,그 maggiore(은/는) 우리에게 매우 중요합니다.
concordare,동의하다,-,Mi piace concordare quando ho tempo libero.,나는 자유 시간이 있을 때 동의하다는 것을 좋아합니다.
fratello,남자 형제,m,Il fratello è molto importante per noi.,그 fratello(은/는) 우리에게 매우 중요합니다.
appena,방금/막,f,La appena è bellissima in questo periodo.,그 appena(은/는) 이 시기에 매우 아름답습니다.
imparare,배우다,-,Mi piace imparare quando ho tempo libero.,나는 자유 시간이 있을 때 배우다는 것을 좋아합니다.
laureare,졸업하다,-,Mi piace laureare quando ho tempo libero.,나는 자유 시간이 있을 때 졸업하다는 것을 좋아합니다.
camminare,걷다,-,Mi piace camminare quando ho tempo libero.,나는 자유 시간이 있을 때 걷다는 것을 좋아합니다.
riuscire,해내다/성공하다,-,Mi piace riuscire quando ho tempo libero.,나는 자유 시간이 있을 때 해내다/성공하다는 것을 좋아합니다.
divertente,즐거운,-,L'italiano è divertente.,이탈리아어는 즐거운입니다.
comunque,어쨌든,-,L'italiano è comunque.,이탈리아어는 어쨌든입니다.
vedere,보다,-,Mi piace vedere quando ho tempo libero.,나는 자유 시간이 있을 때 보다는 것을 좋아합니다.
passare,(시간을) 보내다,-,Mi piace passare quando ho tempo libero.,나는 자유 시간이 있을 때 (시간을) 보내다는 것을 좋아합니다.
estate,여름,f,L'estate è la mia stagione preferita.,여름은 내가 가장 좋아하는 계절이에요.
turista,관광객,f,La turista è bellissima in questo periodo.,그 turista(은/는) 이 시기에 매우 아름답습니다.
affascinare,매혹하다,-,Mi piace affascinare quando ho tempo libero.,나는 자유 시간이 있을 때 매혹하다는 것을 좋아합니다.
trascorrere,(시간을) 보내다,-,Mi piace trascorrere quando ho tempo libero.,나는 자유 시간이 있을 때 (시간을) 보내다는 것을 좋아합니다.
cultura,문화,f,La cultura è bellissima in questo periodo.,그 cultura(은/는) 이 시기에 매우 아름답습니다.
isola,섬,f,La isola è bellissima in questo periodo.,그 isola(은/는) 이 시기에 매우 아름답습니다.
decidere,결정하다,-,Mi piace decidere quando ho tempo libero.,나는 자유 시간이 있을 때 결정하다는 것을 좋아합니다.
esplorare,탐험하다,-,Mi piace esplorare quando ho tempo libero.,나는 자유 시간이 있을 때 탐험하다는 것을 좋아합니다.
prendere,가지다/타다,-,Mi piace prendere quando ho tempo libero.,나는 자유 시간이 있을 때 가지다/타다는 것을 좋아합니다.
meraviglioso,경이로운/멋진,m,Il meraviglioso è molto importante per noi.,그 meraviglioso(은/는) 우리에게 매우 중요합니다.
barchetta,작은 배,f,La barchetta è bellissima in questo periodo.,그 barchetta(은/는) 이 시기에 매우 아름답습니다.
gustare,맛보다,-,Mi piace gustare quando ho tempo libero.,나는 자유 시간이 있을 때 맛보다는 것을 좋아합니다.
sapere,알다,-,Mi piace sapere quando ho tempo libero.,나는 자유 시간이 있을 때 알다는 것을 좋아합니다.
delizioso,맛있는,m,Questo piatto è davvero delizioso.,이 요리는 정말 맛있습니다.
sperare,희망하다,-,Mi piace sperare quando ho tempo libero.,나는 자유 시간이 있을 때 희망하다는 것을 좋아합니다.
accogliere,받아들이다/환영하다,-,Mi piace accogliere quando ho tempo libero.,나는 자유 시간이 있을 때 받아들이다/환영하다는 것을 좋아합니다.
raggiungere,다다르다/도착하다,-,Mi piace raggiungere quando ho tempo libero.,나는 자유 시간이 있을 때 다다르다/도착하다는 것을 좋아합니다.
navigare,항해하다,-,Mi piace navigare quando ho tempo libero.,나는 자유 시간이 있을 때 항해하다는 것을 좋아합니다.
vulcano,화산,m,Il vulcano è molto importante per noi.,그 vulcano(은/는) 우리에게 매우 중요합니다.
mozzafiato,숨 막히는,m,Il mozzafiato è molto importante per noi.,그 mozzafiato(은/는) 우리에게 매우 중요합니다.
maestoso,장엄한,m,Il maestoso è molto importante per noi.,그 maestoso(은/는) 우리에게 매우 중요합니다.
immergere,빠지다/담그다,-,Mi piace immergere quando ho tempo libero.,나는 자유 시간이 있을 때 빠지다/담그다는 것을 좋아합니다.
turismo,관광,m,Il turismo è molto importante per noi.,그 turismo(은/는) 우리에게 매우 중요합니다.
spiaggia,해변,f,Siamo andati in spiaggia per rilassarci.,우리는 휴식을 취하러 해변에 갔습니다.
biglietto,표,m,Il biglietto è molto importante per noi.,그 biglietto(은/는) 우리에게 매우 중요합니다.
viaggio,여행,m,Il viaggio in Italia è stato indimenticabile.,이탈리아 여행은 잊을 수 없었습니다.
monumento,기념물,m,Il monumento è molto importante per noi.,그 monumento(은/는) 우리에게 매우 중요합니다.
attrazione,관광 명소,f,La attrazione è bellissima in questo periodo.,그 attrazione(은/는) 이 시기에 매우 아름답습니다.
vacanza,휴가,f,La vacanza è bellissima in questo periodo.,그 vacanza(은/는) 이 시기에 매우 아름답습니다.
museo,박물관,m,Il museo ospita opere d'arte famose.,그 박물관은 유명한 예술 작품들을 소장하고 있습니다.
bagaglio,수화물,m,Il bagaglio è molto importante per noi.,그 bagaglio(은/는) 우리에게 매우 중요합니다.
prenotare,예약하다,-,Ho prenotato un tavolo per due.,두 사람용 테이블을 예약했습니다.
gita,소풍/관광 여행,f,La gita è bellissima in questo periodo.,그 gita(은/는) 이 시기에 매우 아름답습니다.
escursione,소풍/답사,f,La escursione è bellissima in questo periodo.,그 escursione(은/는) 이 시기에 매우 아름답습니다.
albergo,호텔,m,Il albergo è molto importante per noi.,그 albergo(은/는) 우리에게 매우 중요합니다.
guida turistica,관광 가이드,f,La guida turistica è bellissima in questo periodo.,그 guida turistica(은/는) 이 시기에 매우 아름답습니다.
panorama,전망/경치,f,La panorama è bellissima in questo periodo.,그 panorama(은/는) 이 시기에 매우 아름답습니다.
agriturismo,농촌 숙박시설,m,Il agriturismo è molto importante per noi.,그 agriturismo(은/는) 우리에게 매우 중요합니다.
carta geografica,지도,f,La carta geografica è bellissima in questo periodo.,그 carta geografica(은/는) 이 시기에 매우 아름답습니다.
souvenir,기념품,-,L'italiano è souvenir.,이탈리아어는 기념품입니다.
purtroppo,불행히도,m,Il purtroppo è molto importante per noi.,그 purtroppo(은/는) 우리에게 매우 중요합니다.
ragione,이유/이성,f,La ragione è bellissima in questo periodo.,그 ragione(은/는) 이 시기에 매우 아름답습니다.
immersione subacquea,스쿠버 다이빙,f,La immersione subacquea è bellissima in questo periodo.,그 immersione subacquea(은/는) 이 시기에 매우 아름답습니다.
anche se,비록 ~일지라도,-,L'italiano è anche se.,이탈리아어는 비록 ~일지라도입니다.
mozzafiato,숨 막히는,m,Il mozzafiato è molto importante per noi.,그 mozzafiato(은/는) 우리에게 매우 중요합니다.
mancanza,그리움/부족,f,La mancanza è bellissima in questo periodo.,그 mancanza(은/는) 이 시기에 매우 아름답습니다.
che peccato,유감이다,m,Il che peccato è molto importante per noi.,그 che peccato(은/는) 우리에게 매우 중요합니다.
realizzare,실현하다,-,Mi piace realizzare quando ho tempo libero.,나는 자유 시간이 있을 때 실현하다는 것을 좋아합니다.
sembrare,~처럼 보이다,-,Mi piace sembrare quando ho tempo libero.,나는 자유 시간이 있을 때 ~처럼 보이다는 것을 좋아합니다.
organizzare,계획하다/조직하다,-,Mi piace organizzare quando ho tempo libero.,나는 자유 시간이 있을 때 계획하다/조직하다는 것을 좋아합니다.
nuotare,수영하다,-,Mi piace nuotare quando ho tempo libero.,나는 자유 시간이 있을 때 수영하다는 것을 좋아합니다.
insieme,함께,-,L'italiano è insieme.,이탈리아어는 함께입니다.
ideale,이상적인,-,L'italiano è ideale.,이탈리아어는 이상적인입니다.
assolutamente,절대적으로/완전히,-,L'italiano è assolutamente.,이탈리아어는 절대적으로/완전히입니다.
sogno,꿈,m,Il sogno è molto importante per noi.,그 sogno(은/는) 우리에게 매우 중요합니다.
simile,비슷한,-,L'italiano è simile.,이탈리아어는 비슷한입니다.
balena,고래,f,La balena è bellissima in questo periodo.,그 balena(은/는) 이 시기에 매우 아름답습니다.
Svizzera,스위스,f,La Svizzera è bellissima in questo periodo.,그 Svizzera(은/는) 이 시기에 매우 아름답습니다.
prenotare,예약하다,-,Ho prenotato un tavolo per due.,두 사람용 테이블을 예약했습니다.
meraviglioso,멋진/놀라운,m,Il meraviglioso è molto importante per noi.,그 meraviglioso(은/는) 우리에게 매우 중요합니다.
futuro,미래,m,Il futuro è molto importante per noi.,그 futuro(은/는) 우리에게 매우 중요합니다.
vista,전망,f,La vista è bellissima in questo periodo.,그 vista(은/는) 이 시기에 매우 아름답습니다.
chitarra,기타,f,La chitarra è bellissima in questo periodo.,그 chitarra(은/는) 이 시기에 매우 아름답습니다.
improvviso,갑작스러운,m,Il improvviso è molto importante per noi.,그 improvviso(은/는) 우리에게 매우 중요합니다.
sognare,꿈꾸다,-,Mi piace sognare quando ho tempo libero.,나는 자유 시간이 있을 때 꿈꾸다는 것을 좋아합니다.
seduto,앉아 있는,m,Il seduto è molto importante per noi.,그 seduto(은/는) 우리에게 매우 중요합니다.
commesso,점원,m,Il commesso è molto importante per noi.,그 commesso(은/는) 우리에게 매우 중요합니다.
accogliente,아늑한,-,L'italiano è accogliente.,이탈리아어는 아늑한입니다.
elettronico,전기의/전자의,m,Il elettronico è molto importante per noi.,그 elettronico(은/는) 우리에게 매우 중요합니다.
spiaggia,해변,f,Siamo andati in spiaggia per rilassarci.,우리는 휴식을 취하러 해변에 갔습니다.
cultura,문화,f,La cultura è bellissima in questo periodo.,그 cultura(은/는) 이 시기에 매우 아름답습니다.
davanti a,~앞에,f,La davanti a è bellissima in questo periodo.,그 davanti a(은/는) 이 시기에 매우 아름답습니다.
